,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
GP1BA,0.7906418440391106,-1.1794943118447079,0.3873630912056321,-3.0449321027815013,0.002327328441353452,0.03348426374874215,blue
CHRNA3,3.949454951286272,-1.1811152649602346,0.33750570547594205,-3.499541624917586,0.0004660588321416415,0.015737131258911415,blue
FCN1,6.824133965838774,-1.1848333076159998,0.3129188244801952,-3.7863919167668634,0.0001528505347273928,0.00858070046237165,blue
LOC101928087,2.2007172419288663,-1.1914836817174383,0.4138163672489715,-2.879257023201756,0.003986133245296056,0.045198123400060575,blue
SBSN,1.9726008416429102,-1.2033745599653922,0.3867580930116639,-3.1114398941074013,0.0018617737070900566,0.03024066342475729,blue
NLRP6,2.8055305292663295,-1.210775460195323,0.42355400425274536,-2.8586094052668254,0.004255023528888354,0.047091409640073925,blue
CCDC188,2.5440251088828543,-1.2143892116787052,0.30228740088573874,-4.017333200525055,5.886047023580201e-05,0.005180368199104816,blue
TFPI2,3.4594728974708775,-1.2197001705260202,0.319620865245539,-3.816084314736532,0.00013558619020677954,0.007945681444142176,blue
LOC101060391,1.055309001438345,-1.2206996873748472,0.3803757836188841,-3.209194012723802,0.0013310764126686528,0.0254568433346248,blue
ABO,12.285886236234042,-1.2317038011294967,0.23948976861222693,-5.143033075136611,2.7033800553659e-07,0.00035414317070222104,blue
ATP2A1,9.193496249146234,-1.234955092978203,0.23876790164920844,-5.1721989616199195,2.3135504448815472e-07,0.0003331513378627122,blue
A3GALT2,2.5913428905390794,-1.2381527611621612,0.290134376118546,-4.267514858895122,1.9766260909891697e-05,0.003166159672546452,blue
TFAP2A-AS2,3.8290728405838994,1.2421753544162832,0.359544066175187,3.4548626198465366,0.0005505732851176447,0.01678759431665184,red
LOC101928517,2.5473947433801625,-1.2427251549905522,0.3595252282943313,-3.4565728833170355,0.0005470912389313652,0.016728340054740512,blue
CATSPERD,0.8664134248663342,-1.246294645376665,0.42624906492359016,-2.923864819738847,0.0034571484613753756,0.041574027067800876,blue
LILRA4,22.9266120650773,1.249146747624422,0.3730447351700794,3.3485172952646236,0.0008124520971822977,0.019904601950145782,red
LINC01749,1.1479172359357148,-1.2572999496510764,0.4033681779382136,-3.117003319591722,0.0018269951490445919,0.029841748773687567,blue
